id,identifier,address,city
1,Cafe Griensteidl,Michaelerplatz 2,Vienna
2,Cafe Imperial,Kaerntner Ring 16,Vienna
3,Cafe Kremser,Kaerntner Ring 8,Vienna
4,Cafe Union,Schubertring 2,Vienna
5,Cafe Heydner,Graben 29A,Vienna
6,Arkadencafe,Universitaetsstrasse 3,Vienna
7,Cafe Scheidl,Kaerntner Strasse,Vienna
8,Cafe Anker,Hoher Markt 10,Vienna
9,Cafe Reichsrath (Inh. Karl Auboeck) / alternativ Cafe Auboeck,Rathausplatz 8,Vienna
10,Cafe Scheuchenstuel,Wollzeile 10,Vienna
11,Cafe Rebhuhn,Goldschmiedgasse 6,Vienna
12,Cafe de l’Europe,Graben 31,Vienna
13,Cafe Kaiserhof (Inh. Johann Wortner),Reichsrathstrasse 17,Vienna
14,Cafe Edison,Alser Strasse 9,Vienna
15,Cafe Central,Herrengasse 14,Vienna
16,Cafe Kugel,Am Hof 11,Vienna
17,Cafe Pucher,Kohlmarkt 8-10,Vienna
18,Cafe Stukart,Alsergrund,Vienna
19,Cafe Parisfal,Walfischgasse 13,Vienna
20,Cafe Herrenhof,Herrengasse 10,Vienna
21,Cafe de L'Opera,Opernring 1,Vienna
22,Cafe Ritz,Schubertring 5-7,Vienna
